0, 32767, 0
12260, 30387, 4069
22739, 23592, 8138
29915, 13370, 12207
32745, 1206, 16276
30818, -11133, 20345
24413, -21856, 24414
14462, -29403, 28483
2410, -32678, 32552
-9992, -31206, 36621
-20942, -25201, 40690
-28850, -15535, 44759
-32567, -3612, 48828
-31553, 8836, 52897
-25955, 20000, 56966
-16586, 28259, 61035
-4808, 32412, 65104
7669, 31857, 69173
19032, 26674, 73242
27629, 17615, 77311
32213, 5998, 81380
32118, -6491, 85449
27356, -18037, 89518
18620, -26962, 93587
7179, -31971, 97656
-5305, -32335, 101725
-17018, -28001, 105794
-26259, -19600, 109863
-31685, -8351, 113932
-32508, 4111, 118001
-28609, 15976, 122070
-20553, 25519, 126139
-9512, 31356, 130208
2911, 32637, 134277
14912, 29177, 138346
24746, 21479, 142415
30985, 10659, 146484
32722, -1708, 150553
29706, -13828, 154622
22375, -23938, 158691
11793, -30571, 162760
-503, -32763, 166829
-12725, -30195, 170898
-23099, -23241, 174967
-30117, -12910, 179036
-32759, -704, 183105
-30643, 11605, 187174
-24075, 22227, 191243
-14010, 29621, 195312
-1909, 32711, 199381
10469, 31050, 203450
21326, 24877, 207519
29085, 15090, 211588
32619, 3112, 215657
31414, -9319, 219726
25645, -20396, 223795
16151, -28510, 227864
4310, -32482, 231933
-8157, -31736, 236002
-19438, -26378, 240071
-27896, -17189, 244140
-32302, -5503, 248209
-32014, 6983, 252278
-27076, 18454, 256347
-18204, 27245, 260416
-6688, 32077, 264485
5800, 32250, 268554
17445, 27737, 272623
26556, 19195, 276692
31809, 7864, 280761
32441, -4609, 284830
28360, -16413, 288899
20159, -25832, 292968
9030, -31498, 297037
-3412, -32589, 301106
-15358, -28945, 305175
-25072, -21096, 309244
-31145, -10183, 313313
-32692, 2210, 317382
-29491, 14282, 321451
-22005, 24279, 325520
-11322, 30749, 329589
1005, 32752, 333658
13187, 29997, 337727
23452, 22884, 341796
30311, 12446, 345865
32766, 201, 349934
30462, -12074, 354003
23731, -22594, 358072
13554, -29832, 362141
1407, -32737, 366210
-10944, -30885, 370279
-21705, -24547, 374348
-29313, -14643, 378417
-32663, -2611, 382486
-31267, 9800, 386555
-25329, 20787, 390624
-15712, 28755, 394693
-3811, 32545, 398762
8642, 31607, 402831
19841, 26077, 406900
28157, 16759, 410969
32382, 5007, 415038
31903, -7473, 419107
26790, -18868, 423176
17784, -27521, 427245
6195, -32176, 431314
-6294, -32157, 435383
-17869, -27466, 439452
-26848, -18785, 443521
-31926, -7375, 447590
-32367, 5106, 451659
-28105, 16846, 455728
-19761, 26138, 459797
-8545, 31633, 463866
3911, 32533, 467935
15800, 28706, 472004
25393, 20709, 476073
31297, 9704, 480142
32655, -2711, 484211
29268, -14732, 488280
21630, -24613, 492349
10849, -30919, 496418
-1507, -32732, 500487
-13645, -29791, 504556
-23801, -22521, 508625
-30498, -11980, 512694
-32766, 302, 516763
-30273, 12539, 520832
-23382, 22956, 524901
-13094, 30037, 528970
-905, 32755, 533039
11417, 30714, 537108
22079, 24211, 541177
29534, 14191, 545246
32699, 2110, 549315
31113, -10278, 553384
25007, -21173, 557453
15269, -28992, 561522
3312, -32599, 565591
-9126, -31470, 569660
-20238, -25770, 573729
-28411, -16325, 577798
-32455, -4509, 581867
-31785, 7962, 585936
-26497, 19276, 590005
-17360, 27790, 594074
-5701, 32267, 598143
6786, 32057, 602212
18288, 27189, 606281
27133, 18371, 610350
32036, 6885, 614419
32285, -5602, 618488
27843, -17275, 622557
19357, -26438, 626626
8059, -31760, 630695
-4410, -32469, 634764
-16238, -28460, 638833
-25708, -20317, 642902
-31442, -9223, 646971
-32609, 3212, 651040
-29039, 15180, 655109
-21250, 24942, 659178
-10374, 31082, 663247
2009, 32705, 667316
14101, 29578, 671385
24143, 22154, 675454
30679, 11511, 679523
32757, -804, 683592
30077, -13002, 687661
23027, -23311, 691730
12632, -30234, 695799
402, -32765, 699868
-11886, -30535, 703937
-22448, -23870, 708006
-29749, -13736, 712075
-32728, -1608, 716144
-30952, 10754, 720213
-24680, 21554, 724282
-14822, 29223, 728351
-2811, 32646, 732420
9608, 31327, 736489
20631, 25456, 740558
28658, 15888, 744627
32521, 4011, 748696
31659, -8448, 752765
26198, -19680, 756834
16932, -28053, 760903
5205, -32351, 764972
-7277, -31949, 769041
-18703, -26905, 773110
-27411, -17953, 777179
-32137, -6393, 781248
-32195, 6096, 785317
-27575, 17700, 789386
-18950, 26732, 793455
-7571, 31880, 797524
4907, 32397, 801593
16673, 28208, 805662
26016, 19921, 809731
31580, 8739, 813800
32556, -3712, 817869
28803, -15623, 821938
20865, -25265, 826007
9896, -31237, 830076
-2511, -32671, 834145
-14553, -29358, 838214
-24480, -21781, 842283
-30852, -11039, 846352
-32741, 1307, 850421
-29874, 13462, 854490
-22667, 23662, 858559
-12167, 30424, 862628
101, 32767, 866697
12353, 30349, 870766
22812, 23522, 874835
29956, 13279, 878904
32748, 1106, 882973
30783, -11228, 887042
24346, -21930, 891111
14372, -29447, 895180
2310, -32685, 899249
-10087, -31176, 903318
-21019, -25137, 907387
-28898, -15446, 911456
-32578, -3512, 915525
-31526, 8933, 919594
-25893, 20080, 923663
-16499, 28310, 927732
-4708, 32427, 931801
7767, 31833, 935870
19113, 26615, 939939
27683, 17530, 944008
32232, 5899, 948077
32098, -6590, 952146
27300, -18121, 956215
18537, -27019, 960284
7081, -31993, 964353
-5404, -32318, 968422
-17104, -27949, 972491
-26319, -19519, 976560
-31710, -8254, 980629
-32495, 4210, 984698
-28560, 16063, 988767
-20475, 25582, 992836
-9416, 31385, 996905
3012, 32628, 1000974
15001, 29131, 1005043
24811, 21403, 1009112
31017, 10564, 1013181
32717, -1809, 1017250
29664, -13919, 1021319
22301, -24007, 1025388
11699, -30607, 1029457
-603, -32761, 1033526
-12817, -30156, 1037595
-23170, -23170, 1041664
-30156, -12817, 1045733
-32761, -603, 1049802
-30607, 11699, 1053871
-24007, 22301, 1057940
-13919, 29664, 1062009
-1809, 32717, 1066078
10564, 31017, 1070147
21403, 24811, 1074216
29131, 15001, 1078285
32628, 3012, 1082354
31385, -9416, 1086423
25582, -20475, 1090492
16063, -28560, 1094561
4210, -32495, 1098630
-8254, -31710, 1102699
-19519, -26319, 1106768
-27949, -17104, 1110837
-32318, -5404, 1114906
-31993, 7081, 1118975
-27019, 18537, 1123044
-18121, 27300, 1127113
-6590, 32098, 1131182
5899, 32232, 1135251
17530, 27683, 1139320
26615, 19113, 1143389
31833, 7767, 1147458
32427, -4708, 1151527
28310, -16499, 1155596
20080, -25893, 1159665
8933, -31526, 1163734
-3512, -32578, 1167803
-15446, -28898, 1171872
-25137, -21019, 1175941
-31176, -10087, 1180010
-32685, 2310, 1184079
-29447, 14372, 1188148
-21930, 24346, 1192217
-11228, 30783, 1196286
1106, 32748, 1200355
13279, 29956, 1204424
23522, 22812, 1208493
30349, 12353, 1212562
32767, 101, 1216631
30424, -12167, 1220700
23662, -22667, 1224769
13462, -29874, 1228838
1307, -32741, 1232907
-11039, -30852, 1236976
-21781, -24480, 1241045
-29358, -14553, 1245114
-32671, -2511, 1249183
-31237, 9896, 1253252
-25265, 20865, 1257321
-15623, 28803, 1261390
-3712, 32556, 1265459
8739, 31580, 1269528
19921, 26016, 1273597
28208, 16673, 1277666
32397, 4907, 1281735
31880, -7571, 1285804
26732, -18950, 1289873
17700, -27575, 1293942
